,playlist_genre,playlist_subgenre,playlist_id,playlist_name,playlist_owner,playlist_description,playlist_numtracks
2FzLo5aLjh2iznMvd3BQxb,country,modern country rock,2FzLo5aLjh2iznMvd3BQxb,Modern Country,user,Country Rock,27
43CuXXkPS93hBv2SlXUCPl,country,country dawn,43CuXXkPS93hBv2SlXUCPl,country sunset drive ,user,every sunset brings the promise of a new dawn,92
37i9dQZF1DX3ph0alWhOXm,country,country dawn,37i9dQZF1DX3ph0alWhOXm,Country Tailgate,spotify,Brian Kelley is taking over this weekend to help you get pumped up for the big football championship! ,75
5qQmlnInR9MLCSpbAnM2cq,country,country dawn,5qQmlnInR9MLCSpbAnM2cq,Dawn's Country Playlist,user,A country music playlist of my most favorite country songs!,245
37i9dQZF1DZ06evO0skUco,country,country dawn,37i9dQZF1DZ06evO0skUco,This Is Carolyn Dawn Johnson,spotify,"This is Carolyn Dawn Johnson. The essential tracks, all in one playlist.",35
4RR1vqpISvQHnwaOhVUATN,country,country dawn,4RR1vqpISvQHnwaOhVUATN,Dawn's Country,user,,26
37i9dQZF1DWYrJtGI6TPGS,country,country dawn,37i9dQZF1DWYrJtGI6TPGS,Dansbandscountry,spotify,Ingen större hemlighet att dansband älskar countrymusik.,70
3IFtm9PWoJoWpZytuQOgek,country,country dawn,3IFtm9PWoJoWpZytuQOgek,Dawn's country,user,,196
37i9dQZF1DZ06evO0sEhAm,country,country dawn,37i9dQZF1DZ06evO0sEhAm,This Is Concord Dawn,spotify,"This is Concord Dawn. The essential tracks, all in one playlist.",50
3G3ftymLEXNWuJlSCAP9gJ,country,country dawn,3G3ftymLEXNWuJlSCAP9gJ,Country,user,Punching that clock dust till dawn,325
37i9dQZF1DZ06evO2S8I5W,country,country dawn,37i9dQZF1DZ06evO2S8I5W,This Is Sarah Dawn Finer,spotify,"This is Sarah Dawn Finer. The essential tracks, all in one playlist.",35
3oxDyQZHYkTKoS1nkVrFRW,country,country dawn,3oxDyQZHYkTKoS1nkVrFRW,Morning Coffee ☕️ Dawn/Soft Country/Indie/Folk,user,"Colin Firth is chillin, playing this indie playlist while he has have a coffe for his beautiful morning without having to kill people for the Kingsman. Bon Iver - Roslyn,  - Big Jet Plane - Angus and Julia Stone, Privately Owned Spiral Galaxy, True North - Closer You, Active Child - Hanging On",209
37i9dQZF1DZ06evO0mlXdS,country,country dawn,37i9dQZF1DZ06evO0mlXdS,This Is Dawn Vincent,spotify,"This is Dawn Vincent. The essential tracks, all in one playlist.",50
2Oh3yebF3b29hEKtKI8SFb,country,country dawn,2Oh3yebF3b29hEKtKI8SFb,Dawn country,user,,92
37i9dQZF1DZ06evO0AZ4Xw,country,country dawn,37i9dQZF1DZ06evO0AZ4Xw,This Is City of Dawn,spotify,"This is City of Dawn. The essential tracks, all in one playlist.",50
1cIVxhLYAfAVZjUuVhqpzW,country,country dawn,1cIVxhLYAfAVZjUuVhqpzW,New dawn country,user,,36
37i9dQZF1DZ06evO3p8zXX,country,country dawn,37i9dQZF1DZ06evO3p8zXX,This Is Dawn Sonho,spotify,"This is Dawn Sonho. The essential tracks, all in one playlist.",12
3J4ke8d8TBltAnsiSD6CoR,country,country dawn,3J4ke8d8TBltAnsiSD6CoR,Dawn Country,user,,154
5VI4087bNm2Ptn8SB1tvoP,country,country dawn,5VI4087bNm2Ptn8SB1tvoP,Dawns Country,user,,832
6tInS3mR4D0ATapW3yQcNr,country,country dawn,6tInS3mR4D0ATapW3yQcNr,Dawn country music,user,,86
6jnA9XK7YzXtvfsv4TxKhS,country,country dawn,6jnA9XK7YzXtvfsv4TxKhS,Dawn's country music,user,,326
26p0D5MwHOUaSOK0qB33gY,country,country dawn,26p0D5MwHOUaSOK0qB33gY,Dawn's country,user,,111
27Zm1P410dPfedsdoO9fqm,classical,classical,27Zm1P410dPfedsdoO9fqm,Classical Bangers 🎹🎻,user,"Best classical music to study, chill, and relax. From Mozart, Vivaldi, Beethoven, Chopin, Debussy, Satie, Tchaikovsky, to Christmas Classics. Peaceful vibes from Baroque to Romantic and Modern. From opera to chamber to symphony, all in one playlist. Only the best. Enjoy!",250
37i9dQZF1DWWEJlAGA9gs0,classical,classical,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials,spotify,A selection of the greatest classical tunes; the perfect starting point for anyone who's keen to explore the world of classical music.,159
1h0CEZCm6IbFTbxThn6Xcs,classical,classical,1h0CEZCm6IbFTbxThn6Xcs,Best Classical Music,user,"Essential tracks from the most notable classical works ever recorded - both old and new. Featuring Mozart, Beethoven, Bach, Chopin, Satie, Brahms, Vivaldi, Max Richter, Ludovico Einaudi",201
37i9dQZF1DWVFeEut75IAL,classical,classical,37i9dQZF1DWVFeEut75IAL,Calming Classical,spotify,The most calming classical music.,67
37i9dQZF1EQn1VBR3CMMWb,classical,classical,37i9dQZF1EQn1VBR3CMMWb,Classical Mix,spotify,"<a href=spotify:playlist:37i9dQZF1EIYz0vfPUoOjx>Ludovico Einaudi</a>, <a href=spotify:playlist:37i9dQZF1EIUvw35LnEAZg>Philippe Entremont</a>, <a href=spotify:playlist:37i9dQZF1EIZl8L8w4a6nS>Yann Tiersen</a> and more",50
37i9dQZF1DX8Sz1gsYZdwj,classical,classical,37i9dQZF1DX8Sz1gsYZdwj,Classical Sleep,spotify,Drift off to these peaceful classical melodies.,112
5cwPclg5ZtafoBPWgZMHMb,classical,classical,5cwPclg5ZtafoBPWgZMHMb,classical music to study or sleep to,user,quiet instrumental songs for reading in bed or falling asleep (picture: &quot;Ophelia&quot; by Friedrich Heyser),275
37i9dQZF1DX9OZisIoJQhG,classical,classical,37i9dQZF1DX9OZisIoJQhG,Morning Classical,spotify,Uplifting classical melodies to help you rise and shine.,52
31t0f17KSwPeXgoaJmdzOF,classical,classical,31t0f17KSwPeXgoaJmdzOF,Relaxing Classical Christmas ,user,,236
37i9dQZF1DX4P0ijJK5lUv,classical,classical,37i9dQZF1DX4P0ijJK5lUv,Classical Christmas,spotify,"Heartwarming carols and classical Christmas favourites, guaranteed to make any festive occasion merry and bright.",130
37i9dQZF1DXdWeYUYSWpwS,classical,classical,37i9dQZF1DXdWeYUYSWpwS,Classical Music for Dogs,spotify,"Relaxing, comforting classical music to soothe your dog and reduce separation anxiety. ",52
6wObnEPQ63a4kei1sEcMdH,classical,classical,6wObnEPQ63a4kei1sEcMdH,Classical Music For Studying,user,"Classical music for studying and increased focus. Calm down and relax with peaceful modern classical music from Einaudi, Max Richter, Riopy, Carlos Cipa and others. Do you want to discover more classical music? Go to <a href=""http://www.maestromusic.today"">www.maestromusic.today</a>.",861
37i9dQZF1DWTi57LiHYTmH,classical,classical,37i9dQZF1DWTi57LiHYTmH,Classical in the Background,spotify,A calm and cosy classical soundtrack to all activities. ,120
1rYFrS7qV0p09EXv3HKDSo,classical,classical,1rYFrS7qV0p09EXv3HKDSo,classical music that goes hard,user,don’t know why the title and cover got deleted lmao,75
37i9dQZF1DWUqIzZNMSCv3,classical,classical,37i9dQZF1DWUqIzZNMSCv3,Classical Piano,spotify,Relaxing classical piano.,67
37i9dQZF1DWV0gynK7G6pD,classical,classical,37i9dQZF1DWV0gynK7G6pD,Classical New Releases,spotify,Updated every Friday with the very best classical new releases. Cover: Gautier Capuçon,69
6NxPUn25GTHTBwIj6blqtU,classical,classical,6NxPUn25GTHTBwIj6blqtU,classical,user,the music i grew up playing and listening to falling asleep in the back of the car. sounds like home :),55
37i9dQZF1DXd5zUwdn6lPb,classical,classical,37i9dQZF1DXd5zUwdn6lPb,Classical Focus,spotify,Enhance your focus with classical music.,100
37i9dQZF1DX4Oe8zprVH3z,classical,classical,37i9dQZF1DX4Oe8zprVH3z,zen garden,spotify,"Breathe deep, close your eyes, immerse yourself.... Water and rain sounds mixed with Tibetan meditation bowls and ambient music, to help you find inner balance. ",87
37i9dQZF1EIgICsixhYZd5,classical,classical,37i9dQZF1EIgICsixhYZd5,Orchestra Classical Christmas Mix,spotify,Orchestra Classical Christmas music picked just for you,50
37i9dQZF1DX4t95PAs1EpY,classical,classical,37i9dQZF1DX4t95PAs1EpY,lofi garden,spotify,beats + birds = <3 ,251
37i9dQZF1DWUvHZA1zLcjW,classical,classical,37i9dQZF1DWUvHZA1zLcjW,Chilled Classical,spotify,Chilled classical tunes to help you relax and unwind.,111
0QknRAZUpwPtM2dQIzAnAa,classical,classical,0QknRAZUpwPtM2dQIzAnAa,Classical Study Focus Music,user,"Best Classical Music for Relaxing Focus Working. <a href=""https://open.spotify.com/playlist/7oJS52tMqcz2ZVITSfWm0h""> Listen to calm Classical Piano songs </a> Bach, Tchaikovsky, Mozart, Beethoven and more! Enjoy ",412
37i9dQZF1EIeNzgjUAUi50,classical,compositional ambient,37i9dQZF1EIeNzgjUAUi50,Compositional Ambient Mix,spotify,Compositional Ambient music picked just for you,50
06dxdOgq7076SnSLStgTdq,classical,compositional ambient,06dxdOgq7076SnSLStgTdq,Compositional Ambient,user,A cross-genre playlist somewhere between Ambient and Neo-Classical music.  #ambient #classical #neoclassical #electronic#electroacoustic #compositionalambient Photo: Alesandar Jason (Unsplash) ,100
37i9dQZF1DXdf43Md5h6cE,classical,compositional ambient,37i9dQZF1DXdf43Md5h6cE,Ambient Dreamscapes,spotify,"Fill your mind with music for dreaming, thinking and longing. ",138
37i9dQZF1DX9c7yCloFHHL,classical,compositional ambient,37i9dQZF1DX9c7yCloFHHL,Ambient X,spotify,"The cutting edge in new and contemporary Ambient, Atmospheric and Neo-Classical. Alaskan Tapes on cover.",100
05Gc85Nx2qIhWK780w6d7y,classical,compositional ambient,05Gc85Nx2qIhWK780w6d7y,No Piano (Ambient Compositional),user,The best compositional ambient without piano. Cover is Banksy.,25
2nKOwEQWB8qDAG5Qcs0kWc,classical,compositional ambient,2nKOwEQWB8qDAG5Qcs0kWc,The Sound of Compositional Ambient,user,"See also <a href=""spotify:playlist:79iXD6YvSA55KBa5eMsfou"">Intro</a>, <a href=""spotify:playlist:5a357QNGRzPi52ZHvCxouj"">Pulse</a>, <a href=""spotify:playlist:0tX0PWYUFllm2Un420oAi4"">Edge</a>, <a href=""spotify:playlist:2eoDm0UOQdAy3DIzeF10s5"">♀Filter</a> or <a href=""spotify:playlist:16HLZ4065hkiDj4npq2MWx"">2023</a>; or the Sounds of <a href=""spotify:playlist:7fENFDTpoFZTZN84EAyUhY"">Minimalism</a>, <a href=""spotify:playlist:6CIyPj34GTpAkNwoWToLNT"">Ambient</a>, <a href=""spotify:playlist:6Y3YErcNrY3sVJkq6y9GtT"">Neo-Classical</a>, <a href=""spotify:playlist:3pyyIvUUnrPFSrZ9j7O5pq"">Icelandic Classical</a>, <a href=""spotify:playlist:0HIfTbD7gaDP0rVPqSPNhX"">Drone</a>, <a href=""spotify:playlist:7yLE2whPjIEyndQJqTVqzX"">Nu Age</a>, <a href=""spotify:playlist:6MEINfTsX47SmVv3JLvQwm"">Post-Minimalism</a>, <a href=""spotify:playlist:3G9lrZrzBwmQ1F3OvvvV6d"">Post-Rock</a>, <a href=""spotify:playlist:3w6Xp6CzaJEhZgCQR6tqGb"">Contemporary Classical</a> or <a href=""spotify:playlist:6fzw3GiLktfRKczD6sl6mT"">Focus</a>; or much more at <a href=""http://everynoise.com"">everynoise.com</a>.",305
37i9dQZF1DX3Ogo9pFvBkY,classical,compositional ambient,37i9dQZF1DX3Ogo9pFvBkY,Ambient Relaxation,spotify,"Relax and unwind with chill, ambient music.",212
7dYYvO605apokvWSf9tBFI,classical,compositional ambient,7dYYvO605apokvWSf9tBFI,Ambient & Compositional ,user,...,46
5NbleROaHyKOZDwJEPm7f5,classical,compositional ambient,5NbleROaHyKOZDwJEPm7f5,Ambient Space Soundscapes,user,"Compositional ambient, fourth world, drone &amp; drift. Featuring Biosphere, Brian Eno, AstroPilot, Harold Budd, Aphex Twin, Jon Hopkins, Stars Of The Lid, Applefish, Lauge, Stellardrone and more...",163
37i9dQZF1DWUrPBdYfoJvz,classical,compositional ambient,37i9dQZF1DWUrPBdYfoJvz,Ambient Essentials,spotify,All the greatest Ambient tracks in one place. Cover: Brian Eno,122
0vpSRIiegB5c82nEqDAOS4,classical,compositional ambient,0vpSRIiegB5c82nEqDAOS4,Neo-Classical Compositional Ambient,user,Discover and enjoy the timeless beauty of neoclassical music as it resonates with your soul. Let the piano keys guide your emotions and take you on a melodic journey unlike any other. Press play and let the gentle whispers of compositional ambient serenade you into a state of blissful relaxation.,100
6JmgyHHy7mGB9FATmGy75r,classical,compositional ambient,6JmgyHHy7mGB9FATmGy75r,ethereal ambient guitars,user,"Ambient Guitar, Dreamy souncscapes, Reverb &amp; FX, Soothing vibes, slow and relaxing, Nu Gaze, compositional, Focus. Picture credits: Svaeve &#x2F; Thomas Haahr",80
37i9dQZF1DWWb1L5n1gkOJ,classical,compositional ambient,37i9dQZF1DWWb1L5n1gkOJ,Ambient Study,spotify,"Gentle, soft Ambient music for focus and concentration. ",111
37i9dQZF1DWYYeI1QdFxzU,classical,compositional ambient,37i9dQZF1DWYYeI1QdFxzU,The Wind Down,spotify,"A soundscape of chilled electronic and compositional ambient music, to help you unwind.",50
37i9dQZF1DX8SxUtY6PbgZ,classical,orchestral soundtrack,37i9dQZF1DX8SxUtY6PbgZ,Ambient Film Scores,spotify,"Ambient at the movies; great atmospheric, ethereal film soundtracks.",83
0k2IdPUbVeOhJ3xvozfLRW,classical,compositional ambient,0k2IdPUbVeOhJ3xvozfLRW,Compositional Ambient,user,,211
37i9dQZF1DX7XfRr4cb6cr,classical,compositional ambient,37i9dQZF1DX7XfRr4cb6cr,Dark Ambient,spotify,Hymns for darker hours.,150
0tX0PWYUFllm2Un420oAi4,classical,compositional ambient,0tX0PWYUFllm2Un420oAi4,The Edge of Compositional Ambient,user,"Some recent less-known music that fans of Compositional Ambient are listening to now. See also <a href=""spotify:playlist:2nKOwEQWB8qDAG5Qcs0kWc"">The Sound of Compositional Ambient</a> or <a href=""spotify:playlist:5a357QNGRzPi52ZHvCxouj"">The Pulse of Compositional Ambient</a>.",200
37i9dQZF1DX4TnpT6vw5rE,classical,compositional ambient,37i9dQZF1DX4TnpT6vw5rE,Atmospheric Calm,spotify,Melt into the Atmospheric Calm with these mellow beats and ambient tones.,120
37i9dQZF1DX8OUvJF6ATAB,classical,compositional ambient,37i9dQZF1DX8OUvJF6ATAB,Exospheres,spotify,Explore the inner worlds floating in the imagination of experimental Ambient music producers.,100
37i9dQZF1DXaf6XmhwlgC6,classical,compositional ambient,37i9dQZF1DXaf6XmhwlgC6,Atmospheric Focus,spotify,Music from the ether to focus and study to.,192
4MaHYYQ7ruqlZ2FxbFFYkp,classical,compositional ambient,4MaHYYQ7ruqlZ2FxbFFYkp,Compositional Ambient,user,,115
37i9dQZF1DXbpYC8go5XtU,classical,compositional ambient,37i9dQZF1DXbpYC8go5XtU,Wild Ambience,spotify,Ambient music backed by the atmospheric sounds and elements of nature. ,132
5kB80amR2GvqSqTRosjgNt,classical,compositional ambient,5kB80amR2GvqSqTRosjgNt,AM-02. Compositional Ambient,user,,348
73FFbKroCM31132AxQz9Dd,classical,orchestral soundtrack,73FFbKroCM31132AxQz9Dd,Orchestral Soundtrack From Movies,user,From Disney to Star Wars to Marvel. From Musical to Action to Drama. Fill the atmosphere with tracks from your favourite blockbusters. *THE ORIGINAL PLAYLIST for &quot;Orchestral Movie Soundtrack&quot;,123
1BSrYwyV6qZt0KQ2BpyODi,classical,orchestral soundtrack,1BSrYwyV6qZt0KQ2BpyODi,Piano & Orchestral Soundtrack,user,,90
37i9dQZF1DWZ27zYbfKITD,classical,soundtrack,37i9dQZF1DWZ27zYbfKITD,Soundtracks for Studying,spotify,Focus and relax with the help of these chilled cinematic soundtracks. ,79
5dvzjjtxLuBT1VS3o0uuA8,classical,orchestral soundtrack,5dvzjjtxLuBT1VS3o0uuA8,Best Orchestral Soundtracks,user,,63
37i9dQZF1DXar0WmW5YgAc,classical,soundtrack,37i9dQZF1DXar0WmW5YgAc,Soundtrack Love Songs,spotify,Love songs from your favorite films,97
6QxlecL1MEjPtFITxJiLH5,classical,orchestral soundtrack,6QxlecL1MEjPtFITxJiLH5,"Best Documentary Music: Instrumental & Orchestral Soundtracks from National Geographic, BBC & Disney",user,"The orchestral sound of nature, a calm and relaxing journey of discovery and meditation from and inspired by award-winning documentary films from Discovery Channel, National Geographic, BBC, Channel 4, Netflix and Disney. Submit: aderhim@gmail.com",296
4n1N78MpVaP1IKsyV34Bo5,classical,orchestral soundtrack,4n1N78MpVaP1IKsyV34Bo5,Movie Orchestral Soundtracks,user,"Dive into the movie world | All-time favourite, My go-to study playlist 🥰",145
37i9dQZF1DWW7gj0FcGEx6,classical,soundtrack,37i9dQZF1DWW7gj0FcGEx6,Soundtracked,spotify,"The latest, greatest soundtracks from the big and small screen.",211
5KP4ZTn6MF2WCttcu3Nv3S,classical,orchestral soundtrack,5KP4ZTn6MF2WCttcu3Nv3S,Gaming orchestral soundtracks,user,,125
37i9dQZF1DWXahxq4Q8el6,classical,soundtrack,37i9dQZF1DWXahxq4Q8el6,Feel Good Soundtracks,spotify,Uplifting scores and soundtracks to make your heart happy.,56
1V4Kf9oJqTKIYxowjfrPQI,classical,orchestral soundtrack,1V4Kf9oJqTKIYxowjfrPQI,Epic Orchestral Remixes 🎻,user,"Epic orchestral remixes, versions and covers of classic and modern popular songs. GENRES: Orchestral, Soundtrack. ARTISTS: Hidden Citizens, 2Wei, Audiomachine, L’Orchestra Cinematique, Damned Anthem, Elephant Music, Samuel Kim, Alala, Sebastian Bohm + more. BY: Musical Solutions (2022)",50
37i9dQZF1DXbIeCFU20wRm,classical,orchestral soundtrack,37i9dQZF1DXbIeCFU20wRm,Atmospheric Sci-fi Soundtracks,spotify,Enter another dimension of classical music with these atmospheric Sci-fi soundtracks.,42
5BLxjumfYYw0KdWlVYe6PF,classical,orchestral soundtrack,5BLxjumfYYw0KdWlVYe6PF,Dark Orchestral Music,user,"Dark orchestral soundtracks with powerful emotions and epic climaxes.  Perfect for reading, studying, and uncovering dark conspiracies.  ",95
4mC5iVoSTFk6lfvTOQNGJS,classical,orchestral soundtrack,4mC5iVoSTFk6lfvTOQNGJS,Sad Orchestral Music - Emotional Instrumental Soundtracks,user,"A collection of the saddest orchestral soundtracks. | emotional, songs to break your heart, rainy, bath, romantic, movies, tv shows, anime, instrumental, heartbreaks, melancholy, moody, classical, epic, fantasy, ost, openings, cry, sleep, epic, symphonic, inspirational, piano, violin, guitar, dreamy",110
37i9dQZF1DZ06evO4smcpb,classical,orchestral soundtrack,37i9dQZF1DZ06evO4smcpb,This Is Orchestral Manoeuvres In The Dark,spotify,"This is Orchestral Manoeuvres In The Dark. The essential tracks, all in one playlist.",50
4TiMaUOSWs9vidJfM8FObH,classical,orchestral soundtrack,4TiMaUOSWs9vidJfM8FObH,Epic Orchestral Battle Hits ⚔️,user,"Epic orchestral music for the battlefield. GENRES: Orchestral, Soundtrack. ARTISTS: Verdi, 2Wei, Ninja Tracks, Audiomachine, Wagner, Hidden Citizens, Hans Zimmer, Daft Punk, Junkie XL, Jo Blankenburg, Tyler Bates, Samuel Kim, Thomas Bergersen + more. BY: Musical Solutions (September 2022)",75
37i9dQZF1DWU8kzutEZgNK,classical,soundtrack,37i9dQZF1DWU8kzutEZgNK,Soundtrack of the Philippines,spotify,Pinoy cinema and TV&#x27;s most beloved and timeless songs.,83
6eXk8L8GjBcDVCm8rXIEx8,classical,orchestral soundtrack,6eXk8L8GjBcDVCm8rXIEx8,Epic Dramatic/Tense Cinematic Music - Classical Orchestral Tension Soundtracks/Songs - 2023 Playlist,user,"Most Intense drama buildups from trailers, movies, films and games by strings&#x2F;full orchestras. Dark instrumentals, suspense background &amp; more. Only my personal favorite songs. Epic VII [Part 7&#x2F;11]. 🔔 Unscheduled updates. Other updates on Twitter @DemfireCreation",48
37i9dQZF1DXd0JcVwNOcW9,classical,orchestral soundtrack,37i9dQZF1DXd0JcVwNOcW9,Tony Awards: Best Original Score,spotify,A selection from Best Original Score winners since 1949. ,61
